buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,11.0,9.04626494844089,100,50.0,11.05428695678711
100.0,2.0,100.0,7.0,263.7197253590201,200,100.0,11.433477878570557
150.0,3.0,100.0,0.0,263.3307989947193,300,150.0,11.813228368759155
200.0,4.0,100.0,9.0,251.1911249839798,400,200.0,12.211332082748413
250.0,5.0,100.0,10.0,282.8561409187775,500,250.0,12.564868688583374
300.0,6.0,100.0,8.0,271.468607325885,600,300.0,12.933235883712769
350.0,7.0,100.0,0.0,286.6800495673113,700,350.0,13.28205680847168
400.0,8.0,100.0,6.0,282.242677463876,800,400.0,13.636362314224243
450.0,9.0,100.0,10.0,270.3836023006082,900,450.0,14.006207466125488
500.0,10.0,100.0,5.0,273.45602104037454,1000,500.0,14.37189769744873
550.0,11.0,100.0,0.0,291.5399757554189,1100,550.0,14.714903831481934
600.0,12.0,100.0,14.0,274.3437224057298,1200,600.0,15.079410314559937
650.0,13.0,100.0,10.0,289.2641402601809,1300,650.0,15.425114631652832
700.0,14.0,100.0,9.0,292.62715346881765,1400,700.0,15.766846895217896
750.0,15.0,100.0,10.0,293.55862593165216,1500,750.0,16.107494592666626
800.0,16.0,100.0,13.0,260.0901009837936,1600,800.0,16.491976976394653
850.0,17.0,100.0,13.0,277.40362675315777,1700,850.0,16.85246253013611
900.0,18.0,100.0,0.0,269.26211222550126,1800,900.0,17.223848581314087
950.0,19.0,100.0,11.0,273.170706291133,1900,950.0,17.58992028236389
1000.0,20.0,100.0,14.0,251.2514638799783,2000,1000.0,17.98792815208435
1050.0,21.0,100.0,0.0,16.395177540375474,2100,1050.0,24.08728289604187
1100.0,22.0,100.0,0.0,140.1282712184229,2200,1100.0,24.800915241241455
1150.0,23.0,100.0,0.0,141.21964662631055,2300,1150.0,25.509032249450684
1200.0,24.0,100.0,0.0,143.6772545314659,2400,1200.0,26.205036878585815
1250.0,25.0,100.0,0.0,141.0998803059163,2500,1250.0,26.91375494003296
1300.0,26.0,100.0,0.0,152.76028462197118,2600,1300.0,27.5683753490448
1350.0,27.0,100.0,0.0,142.89017876670934,2700,1350.0,28.268213748931885
1400.0,28.0,100.0,0.0,147.16819993775454,2800,1400.0,28.94770836830139
1450.0,29.0,100.0,0.0,154.5344315265709,2900,1450.0,29.59481382369995
1500.0,30.0,100.0,0.0,144.59786504350032,3000,1500.0,30.28638744354248
1550.0,31.0,100.0,0.0,147.6458980014686,3100,1550.0,30.963683605194092
1600.0,32.0,100.0,0.0,152.41295757819773,3200,1600.0,31.61979603767395
1650.0,33.0,100.0,0.0,147.16381085242162,3300,1650.0,32.29931092262268
1700.0,34.0,100.0,0.0,145.03948356684128,3400,1700.0,32.988778591156006
1750.0,35.0,100.0,0.0,154.10796181456504,3500,1750.0,33.6376748085022
1800.0,36.0,100.0,0.0,147.59648764118566,3600,1800.0,34.31519794464111
1850.0,37.0,100.0,0.0,159.97821341621795,3700,1850.0,34.94028353691101
1900.0,38.0,100.0,0.0,157.14259488285782,3800,1900.0,35.576647996902466
1950.0,39.0,100.0,0.0,146.74187721526914,3900,1950.0,36.25811719894409
2000.0,40.0,100.0,0.0,145.47492699033705,4000,2000.0,36.945520877838135
2050.0,41.0,100.0,0.0,15.62950226251763,4100,2050.0,43.34367752075195
2100.0,42.0,100.0,0.0,145.48734032759683,4200,2100.0,44.03102254867554
2150.0,43.0,100.0,36.0,150.7788959355918,4300,2150.0,44.69424533843994
2200.0,44.0,100.0,0.0,159.47287275603065,4400,2200.0,45.321311712265015
2250.0,45.0,100.0,0.0,145.8654963032002,4500,2250.0,46.006874799728394
2300.0,46.0,100.0,0.0,147.43554907676673,4600,2300.0,46.68513751029968
2350.0,47.0,100.0,0.0,157.45773369647847,4700,2350.0,47.320228576660156
2400.0,48.0,100.0,0.0,143.98122132127008,4800,2400.0,48.014763832092285
2450.0,49.0,100.0,0.0,145.07685852849323,4900,2450.0,48.70405387878418
